,Payment Plan,Cost per Credit,Deposit,Loan Duration,Product Price,Product Price Weighted Llr 200,Quality of Sales
239,MK Phone Nokia G10 3/32 Saf HMD v9,65,"4,999",365,"28,724",0.21567315765018577,0.937
240,MK Phone Nokia G10 3/32 HMD v4,55,"4,299",365,"24,374",0.1084769815182549,0.956
241,MK Phone Nokia G10 3/32 HMD v13,60,"3,699",365,"25,599",0.1398552850725348,0.940
242,MK Phone Nokia C31 4/64 v9 HMD,80,"3,699",365,"32,899",0.19951417108573163,0.890
243,MK Phone Nokia C31 4/64 v8 HRA,80,"3,699",365,"32,899",0.20006666344287533,0.943
244,MK Phone Nokia C31 4/64 v8,80,"3,699",365,"32,899",0.16631929360660605,0.957
245,MK Phone Nokia C31 4/64 v7 HMD,85,"3,999",365,"35,024",0.03658850517791035,1.000
246,MK Phone Nokia C31 4/64 v6 HRA,80,"3,699",365,"32,899",0.2169129478872609,0.913
247,MK Phone Nokia C31 4/64 v6 HMD,90,"4,099",365,"36,949",0.14728625769399234,0.931
248,MK Phone Nokia C31 4/64 v6,80,"3,699",365,"32,899",0.17853631560953706,0.924
249,MK Phone Nokia C31 4/64 v5 HRA,80,"3,499",365,"32,699",0.22237209901556726,0.892
250,MK Phone Nokia C31 4/64 v5 HMD,70,"4,299",365,"29,849",0.09050436366708581,0.945
251,MK Phone Nokia C31 4/64 v5,80,"3,499",365,"32,699",0.17926943736242304,0.913
252,MK Phone Nokia C31 4/64 v4 HRA,85,"3,999",365,"35,024",0.2248888998588456,0.879
253,MK Phone Nokia C31 4/64 v4,85,"3,999",365,"35,024",0.18108442688960646,0.902
254,MK Phone Nokia C31 4/64 v3 HRA,90,"4,099",365,"36,949",0.2598603172844562,0.859
255,MK Phone Nokia C31 4/64 v3,90,"4,099",365,"36,949",0.19100814385450665,0.901
256,MK Phone Nokia C31 4/64 v2 HRA,70,"4,299",365,"29,849",0.17730994702642194,0.915
257,MK Phone Nokia C31 4/64 v11 HMD,80,"3,699",365,"32,899",0.09370557424470768,0.997
258,MK Phone Nokia C31 4/64 v1 HRA,60,"7,949",365,"29,849",0.07258681006608869,0.998
259,MK Phone Nokia C31 4/64 v1,70,"4,299",365,"29,849",0.14246836339312144,0.934
260,MK Phone Nokia C31 4/64 Insurance Pilot v4,80,"3,699",365,"32,899",0.1532100489412226,0.962
261,MK Phone Nokia C31 4/64 Insurance Pilot v2,80,"3,699",365,"32,899",0.16146294330607475,0.940
262,MK Phone Nokia C31 4/64 Insurance Pilot v1,80,"3,499",365,"32,699",0.15343187530650954,0.948
263,MK Phone Nokia C31 4/64 DS v7 ST Pilot,90,"4,099",365,"36,949",0.1638115241349051,0.933
264,MK Phone Nokia C30 2/32 v9,75,"5,499",365,"32,874",0.12206492477061376,0.936
265,MK Phone Nokia C30 2/32 v8,60,"3,999",365,"25,899",0.10960723947609272,0.940
266,MK Phone Nokia C30 2/32 v16 HRA,65,"4,299",365,"28,024",0.18815416672069787,0.907
267,MK Phone Nokia C30 2/32 v15 HRA,60,"6,124",365,"28,024",0.2985327641361047,0.792
268,MK Phone Nokia C30 2/32 v15,65,"4,299",365,"28,024",0.13825431398322965,0.933
